bands,alpha,trial,kan,mlpreg,gap
grz,5.0,1,0.9004160698451674,0.9120114589727849,-0.011595389127617484
grz,5.0,2,0.9012345679012346,0.9092831321192278,-0.00804856421799327
grz,5.0,3,0.8983016165336607,0.9080553850351272,-0.009753768501466475
grz,5.0,4,0.8991883227610667,0.9086010504058386,-0.009412727644771857
grz,10.0,0,0.8614692040106404,0.8718368460541572,-0.010367642043516812
grz,10.0,1,0.8631062001227747,0.8698588090853284,-0.006752608962553697
grz,10.0,2,0.8654252779482982,0.869313143714617,-0.003887865766318832
grz,10.0,3,0.8578541709296774,0.8669940658890936,-0.00913989495941614
grz,10.0,4,0.8617420366959961,0.8704726826273788,-0.008730645931382619
u_only,0.5,0,0.9349976127140032,0.9347929881999864,0.0002046245140168157
u_only,0.5,1,0.9349294045426643,0.9347247800286475,0.0002046245140168157
u_only,0.5,2,0.9346565718573085,0.9356796944273924,-0.0010231225700838564
u_only,0.5,3,0.9345883636859695,0.9349294045426643,-0.00034104085669472983
u_only,0.5,4,0.9347247800286475,0.9349294045426643,-0.0002046245140168157
u_only,1.0,0,0.9343155310006138,0.9341109064865971,0.00020462451401670467
u_only,1.0,1,0.9341109064865971,0.9337016574585635,0.0004092490280336314
u_only,1.0,2,0.9345883636859695,0.9344519473432917,0.00013641634267780312
u_only,1.0,3,0.9346565718573085,0.9341109064865971,0.0005456653707114345
u_only,1.0,4,0.9348611963713253,0.9341109064865971,0.0007502898847281392
u_only,2.0,0,0.9326103267171407,0.9298137916922448,0.002796535024895963
u_only,2.0,1,0.9324739103744628,0.9282450037514495,0.00422890662301334
u_only,2.0,2,0.9334288247732079,0.9292681263215333,0.004160698451674549
u_only,2.0,3,0.9326103267171407,0.929609167178228,0.0030011595389127788
u_only,2.0,4,0.9324739103744628,0.9304276652342951,0.002046245140167713
u_only,5.0,0,0.9214241866175568,0.890662301343701,0.030761885273855816
u_only,5.0,1,0.9205374803901507,0.8907987176863789,0.02973876270377185
u_only,5.0,2,0.9220380601596071,0.8882068071754996,0.033831252984107496
u_only,5.0,3,0.921287770274879,0.8942773344246641,0.027010435850214898
u_only,5.0,4,0.9197189823340837,0.894345542596003,0.025373439738080705
u_only,10.0,0,0.8994611554464225,0.8116772389332242,0.08778391651319828
u_only,10.0,1,0.9004160698451674,0.8094945774503786,0.09092149239478886
u_only,10.0,2,0.8983016165336607,0.8114044062478685,0.08689721028579223
u_only,10.0,3,0.897142077620899,0.8146101903007981,0.08253188732010097
u_only,10.0,4,0.8983016165336607,0.8179523906964055,0.08034922583725523
no_u,0.5,0,0.932337494031785,0.9342473228292749,-0.0019098287974899097
no_u,0.5,1,0.9333606166018689,0.9343837391719528,-0.0010231225700839675
no_u,0.5,2,0.932337494031785,0.9354750699133756,-0.003137575881590582
no_u,0.5,3,0.9339062819725803,0.9349294045426643,-0.0010231225700839675
no_u,0.5,4,0.9329513675738353,0.9343837391719528,-0.0014323715981174878
no_u,1.0,0,0.93138257963304,0.9331559920878522,-0.0017734124548121066
no_u,1.0,1,0.9311779551190232,0.9339744901439192,-0.002796535024895963
no_u,1.0,2,0.9302912488916172,0.9339062819725803,-0.003615033080963115
no_u,1.0,3,0.9322010776891072,0.9325421185458018,-0.0003410408566946188
no_u,1.0,4,0.9308369142623286,0.9336334492872246,-0.002796535024895963
